Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s
242,4.736,1680.0,17.27,3064.0,99.98,0.0,0.0,0.0,4.736,1268.67,1134.84
243,4.76,1676.0,14.62,3064.0,99.97,0.0,0.0,0.0,4.76,1257.91,1122.03
244,4.78,1602.0,13.28,3064.0,99.94,0.0,0.0,0.0,4.78,1270.31,1116.75
245,4.684,1648.0,16.73,3070.0,99.53,0.0,0.0,0.0,4.684,1256.76,1086.8
246,4.717,1675.0,15.73,3069.0,99.87,0.0,0.0,0.0,4.717,1244.52,1111.55
247,4.761,1664.0,14.79,3064.0,99.96,0.0,0.0,0.0,4.761,1263.6,1131.98
248,4.714,1631.0,14.72,3067.0,99.09,0.0,0.0,0.0,4.714,1256.2,1089.79
249,4.73,1645.0,14.59,3066.0,99.8,0.0,0.0,0.0,4.73,1261.77,1110.53
250,4.785,1652.0,12.89,3063.0,99.99,0.0,0.0,0.0,4.785,1261.23,1139.6
251,4.739,1698.0,14.79,3064.0,99.87,0.0,0.0,0.0,4.739,1248.08,1127.1
252,4.764,1604.0,13.63,3066.0,99.63,0.0,0.0,0.0,4.764,1262.81,1096.18
253,4.747,1675.0,14.47,3066.0,99.89,0.0,0.0,0.0,4.747,1263.42,1116.13
254,4.686,1672.0,18.35,3068.0,99.91,0.0,0.0,0.0,4.686,1248.09,1120.81
255,4.737,1680.0,15.36,3068.0,99.91,0.0,0.0,0.0,4.737,1266.98,1103.77
256,4.751,1603.0,13.33,3066.0,99.5,0.0,0.0,0.0,4.751,1243.6,1108.49
257,4.671,1730.0,20.04,3070.0,99.74,0.0,0.0,0.0,4.671,1254.48,1104.39
258,4.743,1678.0,14.82,3064.0,99.92,0.0,0.0,0.0,4.743,1253.35,1126.36
259,4.752,1690.0,14.6,3063.0,99.82,0.0,0.0,0.0,4.752,1257.82,1136.36
260,4.773,1622.0,26.36,3067.0,99.55,0.0,0.0,0.0,4.773,1236.83,1097.14
261,4.77,1644.0,14.1,3066.0,99.85,0.0,0.0,0.0,4.77,1279.03,1122.03
262,4.798,1669.0,12.98,3062.0,100.0,0.0,0.0,0.0,4.798,1262.29,1149.61
263,4.759,1671.0,14.8,3064.0,99.89,0.0,0.0,0.0,4.759,1260.23,1127.17
