Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s,Adapted
186,4.822,1664.0,15.48,3066.0,100.0,0.0,0.0,0.0,4.822,1256.36,1154.05,false
187,4.831,1663.0,20.0,3067.0,100.0,0.0,0.0,0.0,4.831,1247.95,1153.01,false
188,4.85,1676.0,18.16,3066.0,100.0,0.0,0.0,0.0,4.85,1259.09,1151.28,false
189,4.788,1691.0,23.84,3069.0,99.73,0.0,0.0,0.0,4.788,1245.41,1155.95,false
190,4.825,1665.0,20.1,3067.0,99.84,0.0,0.0,0.0,4.825,1247.9,1150.31,false
191,4.857,1677.0,18.88,3066.0,100.0,0.0,0.0,0.0,4.857,1252.54,1148.03,false
192,4.859,1676.0,20.58,3066.0,100.0,0.0,0.0,0.0,4.859,1259.19,1153.01,false
193,4.855,1672.0,19.39,3066.0,100.0,0.0,0.0,0.0,4.855,1254.41,1148.99,false
194,4.858,1663.0,21.3,3066.0,100.0,0.0,710.0,0.22,4.858,1261.45,1151.98,false
195,4.839,1672.0,20.27,3067.0,99.84,0.0,0.0,0.0,4.839,1250.45,1152.05,false
196,4.833,1667.0,21.54,3067.0,99.85,0.0,0.0,0.0,4.833,1256.5,1159.85,false
197,4.816,1678.0,22.65,3068.0,99.87,0.0,0.0,0.0,4.816,1244.84,1143.14,false
198,4.834,1677.0,24.7,3067.0,99.84,0.0,710.0,0.22,4.834,1260.26,1154.12,false
199,4.864,1635.0,19.57,3066.0,100.0,0.0,0.0,0.0,4.864,1254.87,1159.05,false
200,4.846,1678.0,21.94,3067.0,99.84,0.0,710.0,0.22,4.846,1261.14,1151.94,false
201,4.855,1688.0,19.47,3067.0,100.0,0.0,0.0,0.0,4.855,1256.86,1153.74,false
202,4.826,1688.0,24.42,3068.0,99.87,0.0,708.0,0.22,4.826,1244.5,1151.54,false
203,4.902,1678.0,26.77,3066.0,100.0,0.0,0.0,0.0,4.902,1260.77,1149.3,false
204,4.821,1669.0,25.06,3069.0,99.85,0.0,0.0,0.0,4.821,1250.36,1152.0,false
205,4.84,1645.0,15.63,3066.0,100.0,0.0,0.0,0.0,4.84,1257.42,1151.13,false
206,4.813,1676.0,20.18,3068.0,99.86,0.0,0.0,0.0,4.813,1246.2,1152.76,false
207,4.844,1688.0,20.44,3067.0,100.0,0.0,0.0,0.0,4.844,1248.58,1151.13,false
208,4.841,1698.0,21.78,3067.0,100.0,0.0,0.0,0.0,4.841,1254.41,1154.56,false
209,4.872,1677.0,19.63,3066.0,100.0,0.0,0.0,0.0,4.872,1251.99,1150.11,false
210,4.814,1675.0,22.2,3068.0,99.71,0.0,0.0,0.0,4.814,1249.53,1153.65,false
211,4.818,1676.0,22.63,3068.0,99.86,0.0,0.0,0.0,4.818,1250.9,1154.5,false
