Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
209,4.963,1862.0,20.78,3057.0,100.0,0.0,0.0,0.0,4.963,196.59,1138.8,1146.72
210,4.986,1868.0,35.17,3058.0,100.0,0.0,0.0,0.0,4.986,198.49,1146.3,1149.93
211,4.941,1897.0,19.76,3056.0,100.0,0.0,0.0,0.0,4.941,193.96,1140.34,1137.44
212,4.916,1899.0,22.4,3059.0,100.0,0.0,0.0,0.0,4.916,190.72,1145.86,1155.71
213,4.941,1878.0,21.63,3057.0,100.0,0.001,715.0,0.41,4.942,195.28,1140.87,1145.64
214,4.973,1888.0,21.59,3055.0,100.0,0.0,0.0,0.0,4.973,193.46,1142.76,1149.6
215,4.936,1786.0,19.66,3056.0,100.0,0.0,0.0,0.0,4.936,162.2,1139.86,1148.51
216,4.934,1852.0,22.55,3058.0,100.0,0.0,0.0,0.0,4.934,195.21,1144.1,1137.36
217,4.911,1866.0,25.12,3061.0,100.0,0.0,0.0,0.0,4.911,197.8,1143.47,1150.34
218,4.965,1896.0,19.09,3055.0,100.0,0.0,0.0,0.0,4.965,193.78,1141.95,1148.86
219,4.97,1947.0,19.11,3055.0,100.0,0.0,0.0,0.0,4.97,194.93,1132.97,1149.84
220,4.96,1921.0,20.61,3056.0,100.0,0.0,0.0,0.0,4.96,192.46,1150.5,1149.61
221,4.955,1848.0,20.85,3057.0,100.0,0.0,0.0,0.0,4.955,195.56,1139.45,1147.16
222,4.888,1910.0,24.2,3060.0,100.0,0.001,711.0,0.53,4.889,194.93,1144.71,1143.64
223,4.908,1874.0,21.01,3058.0,100.0,0.0,0.0,0.0,4.908,195.55,1141.24,1143.2
224,4.959,1820.0,21.34,3057.0,100.0,0.002,712.0,0.31,4.961,198.47,1140.98,1145.45
225,4.981,1788.0,20.78,3058.0,100.0,0.0,0.0,0.0,4.981,198.46,1146.14,1155.95
226,4.957,1915.0,21.47,3056.0,100.0,0.0,0.0,0.0,4.957,197.03,1144.09,1139.09
227,4.957,1965.0,18.0,3055.0,100.0,0.0,0.0,0.0,4.957,194.24,1139.27,1151.69
228,4.903,1878.0,18.65,3058.0,100.0,0.0,0.0,0.0,4.903,195.89,1140.84,1143.8
229,4.899,1897.0,23.16,3059.0,99.82,0.0,0.0,0.0,4.899,194.85,1146.51,1143.63
230,4.93,1937.0,21.6,3057.0,100.0,0.0,0.0,0.0,4.93,194.25,1135.02,1156.33
231,4.966,1986.0,18.75,3055.0,100.0,0.0,0.0,0.0,4.966,192.5,1142.75,1142.46
232,4.961,1896.0,19.08,3055.0,100.0,0.0,0.0,0.0,4.961,196.21,1143.12,1142.71
233,4.948,1891.0,21.66,3057.0,100.0,0.0,0.0,0.0,4.948,197.45,1145.96,1155.31
234,4.943,1825.0,20.17,3057.0,100.0,0.0,0.0,0.0,4.943,195.05,1144.57,1146.26
235,4.961,1901.0,21.16,3057.0,100.0,0.0,0.0,0.0,4.961,197.48,1137.07,1148.49
236,5.187,1880.0,27.62,3057.0,99.96,0.0,0.0,0.0,5.187,194.25,1148.75,1147.22
237,4.928,1849.0,24.44,3061.0,100.0,0.0,0.0,0.0,4.928,197.35,1144.17,1145.05
238,4.955,1859.0,20.59,3057.0,100.0,0.0,0.0,0.0,4.955,196.02,1137.38,1149.39
239,4.991,1778.0,21.75,3059.0,100.0,0.0,714.0,0.41,4.991,197.68,1157.03,1155.2
240,5.005,1875.0,34.2,3057.0,100.0,0.0,0.0,0.0,5.005,199.69,1140.12,1142.35
241,4.976,1809.0,20.08,3059.0,100.0,0.0,0.0,0.0,4.976,198.73,1145.34,1153.53
242,4.967,1727.0,24.28,3062.0,100.0,0.0,0.0,0.0,4.967,205.82,1143.7,1151.23
