Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s
250,3.336,1110.0,5.88,3172.0,100.0,0.0,0.0,0.0,3.336,1226.13
251,3.308,1110.0,6.4,3173.0,99.56,0.0,0.0,0.0,3.308,1227.99
252,3.35,1141.0,5.63,3172.0,100.0,0.0,0.0,0.0,3.35,1226.51
253,3.297,1121.0,6.01,3172.0,100.0,0.0,0.0,0.0,3.297,1238.38
254,3.292,1108.0,5.81,3173.0,100.0,0.0,0.0,0.0,3.292,1230.98
255,3.345,1141.0,6.07,3172.0,100.0,0.0,0.0,0.0,3.345,1229.17
256,3.295,1114.0,6.05,3172.0,100.0,0.0,0.0,0.0,3.295,1229.48
257,3.297,1126.0,5.66,3173.0,100.0,0.0,0.0,0.0,3.297,1233.33
258,3.308,1164.0,5.67,3173.0,100.0,0.0,0.0,0.0,3.308,1214.12
259,3.289,1104.0,5.69,3172.0,100.0,0.0,0.0,0.0,3.289,1238.37
260,3.324,1086.0,5.82,3172.0,100.0,0.0,0.0,0.0,3.324,1234.26
261,3.315,1123.0,6.22,3173.0,100.0,0.0,0.0,0.0,3.315,1226.24
262,3.292,1072.0,5.73,3173.0,100.0,0.0,0.0,0.0,3.292,1229.49
263,3.31,1126.0,6.64,3172.0,100.0,0.0,714.0,0.41,3.31,1229.89
264,3.315,1116.0,5.94,3173.0,100.0,0.0,0.0,0.0,3.315,1229.28
265,3.313,1112.0,7.11,3173.0,100.0,0.0,0.0,0.0,3.313,1226.57
266,3.352,1149.0,6.12,3172.0,99.96,0.0,0.0,0.0,3.352,1229.82
267,3.301,1116.0,5.55,3173.0,100.0,0.0,0.0,0.0,3.301,1223.05
268,3.29,1103.0,5.78,3173.0,100.0,0.0,0.0,0.0,3.29,1220.98
269,3.333,1117.0,6.24,3173.0,100.0,0.0,0.0,0.0,3.333,1221.06
270,3.298,1128.0,5.94,3173.0,100.0,0.0,0.0,0.0,3.298,1223.21
271,3.298,1126.0,5.96,3173.0,100.0,0.0,0.0,0.0,3.298,1224.34
272,3.331,1152.0,5.64,3172.0,100.0,0.0,0.0,0.0,3.331,1227.9
273,3.291,1099.0,5.74,3173.0,100.0,0.0,0.0,0.0,3.291,1235.12
274,3.308,1114.0,10.05,3174.0,100.0,0.0,0.0,0.0,3.308,1216.07
275,3.374,1163.0,6.92,3172.0,100.0,0.0,0.0,0.0,3.374,1229.05
276,3.31,1113.0,6.06,3173.0,100.0,0.0,0.0,0.0,3.31,1225.55
277,3.31,1095.0,5.63,3173.0,100.0,0.0,0.0,0.0,3.31,1223.88
278,3.357,1119.0,6.07,3172.0,100.0,0.0,0.0,0.0,3.357,1239.74
279,3.302,1101.0,5.67,3173.0,100.0,0.0,0.0,0.0,3.302,1225.43
280,3.303,1103.0,5.93,3173.0,100.0,0.0,0.0,0.0,3.303,1221.67
281,3.342,1140.0,5.72,3173.0,100.0,0.0,0.0,0.0,3.342,1226.04
282,3.298,1096.0,5.71,3173.0,100.0,0.0,0.0,0.0,3.298,1233.82
283,3.299,1085.0,5.72,3173.0,100.0,0.0,0.0,0.0,3.299,1231.64
284,3.327,1134.0,5.58,3172.0,100.0,0.0,0.0,0.0,3.327,1229.92
285,3.309,1109.0,5.98,3172.0,100.0,0.0,0.0,0.0,3.309,1232.42
286,3.297,1111.0,5.7,3172.0,100.0,0.0,0.0,0.0,3.297,1231.45
287,3.316,1103.0,5.61,3172.0,100.0,0.0,0.0,0.0,3.316,1229.67
288,3.3,1083.0,5.66,3172.0,100.0,0.0,0.0,0.0,3.3,1233.53
289,3.285,1135.0,5.64,3173.0,100.0,0.0,0.0,0.0,3.285,1223.73
290,3.323,1089.0,5.95,3173.0,100.0,0.0,0.0,0.0,3.323,1230.39
291,3.311,1115.0,5.57,3173.0,100.0,0.0,0.0,0.0,3.311,1221.99
292,3.3,1103.0,6.3,3173.0,99.5,0.0,0.0,0.0,3.3,1223.12
293,3.313,1128.0,6.0,3173.0,100.0,0.0,0.0,0.0,3.313,1233.21
294,3.324,1129.0,5.98,3172.0,100.0,0.0,0.0,0.0,3.324,1233.28
295,3.303,1106.0,6.27,3173.0,100.0,0.0,0.0,0.0,3.303,1227.14
